"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","ADP","playerid"
"Carlos Martinez","Cardinals","15","9","3.18","32","32","0","210.0","179","74","20","223","72","1.20","9.56","3.09","3.40","4.5","52.4","11682"
"Bryan Shaw","Rockies","4","4","3.58","0","79","0","79.0","70","31","8","78","24","1.19","8.89","2.73","3.49","1.4","602.1","8110"
"Charlie Morton","Astros","12","7","3.83","25","25","0","142.0","125","60","14","150","52","1.25","9.51","3.30","3.53","2.9","168.0","4676"
"Gerrit Cole","Astros","15","9","3.52","32","32","0","198.0","183","77","22","199","56","1.21","9.05","2.55","3.53","4.3","76.8","13125"
"Chris Rusin","Rockies","4","2","3.25","0","61","0","89.0","88","32","9","76","21","1.22","7.69","2.12","3.54","1.4","648.1","9895"
"Jose Berrios","Twins","14","8","3.52","30","30","0","182.0","167","71","19","180","55","1.22","8.90","2.72","3.54","4.4","103.4","14168"
"Shohei Ohtani","Angels","11","7","3.57","25","25","0","143.0","122","57","16","157","49","1.20","9.88","3.08","3.55","3.0","94.8","19755"
"Brent Honeywell","","7","6","3.75","14","16","0","86.0","79","36","9","88","28","1.24","9.21","2.93","3.55","1.9","340.2","sa828706"
"Nick Vincent","Mariners","3","4","3.31","0","63","0","63.0","60","23","6","52","15","1.19","7.43","2.14","3.55","0.8","685.9","7555"
"Yu Darvish","Cubs","14","8","3.49","30","30","0","181.0","152","70","25","215","54","1.14","10.69","2.69","3.56","3.8","47.6","13074"
"Rich Hill","Dodgers","12","7","3.54","23","23","0","126.0","99","50","15","145","45","1.14","10.36","3.21","3.57","2.4","127.5","4806"
"Chris Archer","Pirates","12","10","3.60","33","33","0","196.0","170","78","27","237","62","1.18","10.88","2.85","3.57","4.1","54.3","6345"
"David Phelps","Mariners","4","4","3.25","0","46","0","53.0","45","19","5","59","23","1.28","10.02","3.91","3.57","0.5","669.7","6316"
"Robbie Ray","Diamondbacks","13","8","3.69","29","29","0","168.0","139","69","21","215","69","1.24","11.52","3.70","3.58","3.8","47.1","11486"
"Kyle Hendricks","Cubs","13","7","3.31","29","29","0","171.0","153","63","19","157","43","1.15","8.26","2.26","3.59","3.5","112.4","12049"
"Seung Hwan Oh","Rockies","3","3","3.50","0","63","6","60.0","53","23","8","64","15","1.13","9.60","2.25","3.61","0.7","489.5","18719"
"Michael Wacha","Cardinals","12","9","3.92","28","28","0","152.0","145","66","15","138","47","1.26","8.17","2.78","3.65","2.8","220.4","14078"
"Mike Leake","Mariners","12","9","3.75","30","30","0","184.0","183","77","19","138","36","1.19","6.75","1.76","3.65","3.4","332.0","10130"
"Johnny Cueto","Giants","14","10","3.55","31","31","0","198.0","186","78","21","178","55","1.22","8.09","2.50","3.66","3.6","152.6","6893"
"Kenta Maeda","Dodgers","12","8","3.89","29","29","0","156.0","137","67","20","162","44","1.16","9.35","2.54","3.67","2.9","193.3","18498"
"Ryan Tepera","Blue Jays","4","2","3.42","0","64","0","64.0","55","24","6","66","26","1.27","9.28","3.66","3.67","0.8","615.0","10291"
"Marcus Stroman","Blue Jays","14","9","3.47","32","32","0","203.0","196","78","20","169","55","1.24","7.49","2.44","3.67","4.2","150.8","13431"
"Wade Davis","Rockies","4","3","3.17","0","61","37","61.0","49","21","7","73","26","1.23","10.77","3.84","3.68","1.0","110.6","7441"
"Zack Godley","Diamondbacks","12","8","3.67","28","32","0","188.0","164","77","20","191","67","1.23","9.14","3.21","3.69","3.9","117.2","14862"
"Justin Verlander","Astros","16","7","3.28","32","32","0","207.0","172","75","26","223","66","1.15","9.70","2.87","3.69","4.1","40.0","8700"
"Zack Greinke","Diamondbacks","15","8","3.31","31","31","0","200.0","177","73","26","191","46","1.12","8.60","2.07","3.70","4.3","49.0","1943"
